time,strain
2.328066406,6.36E-07
2.33001965,1.18E-06
2.331972894,4.89E-07
2.333926138,2.38E-07
2.335879382,4.16E-07
2.337832626,4.27E-07
2.33978587,6.49E-07
2.341739114,1.14E-06
2.343692358,1.49E-06
2.345645602,1.23E-06
2.347598847,1.20E-06
2.349552091,1.06E-06
2.351505335,5.74E-07
2.353458579,1.81E-07
2.355411823,2.15E-07
2.357365067,3.47E-07
2.359318311,5.37E-07
2.361271555,9.10E-07
2.363224799,1.45E-06
2.365178043,1.32E-06
2.367131287,1.21E-06
2.369084531,1.00E-06
2.371037775,6.85E-07
2.372991019,9.87E-08
2.374944263,2.23E-07
2.376897507,1.78E-07
2.378850751,4.62E-07
2.380803995,6.83E-07
2.382757239,1.38E-06
2.384710484,1.33E-06
2.386663728,1.21E-06
2.388616972,1.11E-06
2.390570216,8.80E-07
2.39252346,2.15E-07
2.394476704,1.28E-07
2.396429948,2.43E-07
2.398383192,4.36E-07
2.400336436,6.62E-07
2.40228968,1.22E-06
2.404242924,1.39E-06
2.406196168,1.23E-06
2.408149412,1.18E-06
2.410102656,9.52E-07
2.4120559,4.92E-07
2.414009144,5.05E-08
2.415962388,3.64E-07
2.417915632,4.03E-07
2.419868876,6.36E-07
2.421822121,1.03E-06
2.423775365,1.37E-06
2.425728609,1.16E-06
2.427681853,1.12E-06
2.429635097,9.61E-07
2.431588341,5.48E-07
2.433541585,2.25E-07
2.435494829,3.85E-07
2.437448073,3.28E-07
2.439401317,5.53E-07
2.441354561,8.79E-07
2.443307805,1.42E-06
2.445261049,1.28E-06
2.447214293,1.12E-06
2.449167537,9.67E-07
2.451120781,6.89E-07
2.453074025,2.09E-07
2.455027269,2.72E-07
2.456980513,3.22E-07
2.458933758,5.19E-07
2.460887002,8.28E-07
2.462840246,1.38E-06
2.46479349,1.25E-06
2.466746734,1.18E-06
2.468699978,9.64E-07
2.470653222,8.22E-07
2.472606466,9.79E-08
2.47455971,1.75E-07
2.476512954,2.43E-07
2.478466198,5.54E-07
2.480419442,7.29E-07
2.482372686,1.37E-06
2.48432593,1.31E-06
2.486279174,1.19E-06
2.488232418,9.23E-07
2.490185662,8.49E-07
2.492138906,2.81E-07
2.49409215,8.47E-08
2.496045395,3.41E-07
2.497998639,3.80E-07
2.499951883,5.71E-07
2.501905127,1.09E-06
2.503858371,1.34E-06
2.505811615,1.09E-06
2.507764859,1.11E-06
2.509718103,8.84E-07
2.511671347,5.03E-07
2.513624591,9.59E-08
2.515577835,3.03E-07
2.517531079,3.79E-07
2.519484323,6.04E-07
2.521437567,9.60E-07
2.523390811,1.50E-06
2.525344055,1.22E-06
2.527297299,1.13E-06
2.529250543,1.06E-06
2.531203787,7.06E-07
2.533157032,8.02E-08
2.535110276,3.63E-07
2.53706352,4.34E-07
2.539016764,6.00E-07
2.540970008,9.92E-07
2.542923252,1.46E-06
2.544876496,1.40E-06
2.54682974,1.21E-06
2.548782984,1.02E-06
2.550736228,8.58E-07
2.552689472,2.58E-07
2.554642716,2.32E-07
2.55659596,4.04E-07
2.558549204,6.07E-07
2.560502448,7.77E-07
2.562455692,1.34E-06
2.564408936,1.39E-06
2.56636218,1.24E-06
2.568315424,1.17E-06
2.570268669,1.02E-06
2.572221913,3.80E-07
2.574175157,3.21E-07
2.576128401,4.29E-07
2.578081645,5.95E-07
2.580034889,7.17E-07
2.581988133,1.23E-06
2.583941377,1.49E-06
2.585894621,1.33E-06
2.587847865,1.24E-06
2.589801109,1.10E-06
2.591754353,6.08E-07
2.593707597,2.85E-07
2.595660841,3.50E-07
2.597614085,4.30E-07
2.599567329,5.97E-07
2.601520573,1.02E-06
2.603473817,1.45E-06
2.605427061,1.28E-06
2.607380306,1.28E-06
2.60933355,1.16E-06
2.611286794,8.54E-07
2.613240038,2.70E-07
2.615193282,4.70E-07
2.617146526,4.47E-07
2.61909977,6.88E-07
2.621053014,8.97E-07
2.623006258,1.55E-06
2.624959502,1.36E-06
2.626912746,1.37E-06
2.62886599,1.18E-06
2.630819234,1.02E-06
2.632772478,3.77E-07
2.634725722,4.57E-07
2.636678966,5.39E-07
2.63863221,7.07E-07
2.640585454,8.33E-07
2.642538698,1.49E-06
2.644491943,1.52E-06
2.646445187,1.30E-06
2.648398431,1.17E-06
2.650351675,9.86E-07
2.652304919,3.61E-07
2.654258163,3.32E-07
2.656211407,4.51E-07
2.658164651,6.18E-07
2.660117895,9.43E-07
2.662071139,1.32E-06
2.664024383,1.58E-06
2.665977627,1.37E-06
2.667930871,1.21E-06
2.669884115,1.03E-06
2.671837359,5.29E-07
2.673790603,2.60E-07
2.675743847,4.88E-07
2.677697091,6.24E-07
2.679650335,8.73E-07
